,Index,Name,Solvent,Experimental,Charge,mean_EN,mean_polarizability,coord_number
0,1,cis-Pt(en)Cl2,DMSO,-2345,0,3.1,11,4
1,2,"cis-Pt(N,N-(Me)2en)Cl2",DMSO,-2433,0,3.1,11,4
2,3,cis-Pt(N-(Me)2en)Cl2,DMSO,-2355,0,3.1,11,4
3,4,"cis-Pt(N,N-(Me)4en)Cl2",DMSO,-2386,0,3.1,11,4
4,6,cis-Pt(cba)NH3Cl2,DMSO,-2219,0,3.1,11,4
5,7,cis-Pt(cba)2Cl2,DMF,-2235,0,3.1,11,4
6,8,trans-Pt(cba)2Cl2,DMF,-2225,0,3.1,11,4
7,9,cis-Pt(MeNH2)2Cl2,DMF,-2222,0,3.1,11,4
8,10,cis-Pt(Me2NH)2Cl2,DMF,-2188,0,3.1,11,4
9,11,trans-Pt(Me2NH)2Cl2,DMF,-2181,0,3.1,11,4
10,12,[Pt(MeNH2)Cl3]-,DMF,-1842,-1,3.13,12.8,4
11,13,[Pt(EtNH2)Cl3]-,DMF,-1850,-1,3.13,12.8,4
12,14,[Pt(cba)Cl3]-,DMF,-1852,-1,3.13,12.8,4
13,15,[Pt(cpa)Cl3]-,DMF,-1847,-1,3.13,12.8,4
14,16,[Pt(Me2NH)Cl3]-,DMF,-1825,-1,3.13,12.8,4
15,17,cis-Pt(py)2Cl2,CDCl3,-1998,0,3.1,11,4
16,18,trans-Pt(py)2Cl2,CDCl3,-1948,0,3.1,11,4
17,19,"cis-Pt(2,4-lutidine)Cl2",CDCl3,-2014,0,3.1,11,4
18,20,"trans-Pt(2,4-lutidine)Cl2",CDCl3,-1960,0,3.1,11,4
19,21,"cis-Pt(3,5-lutidine)Cl2",CDCl3,-2011,0,3.1,11,4
20,22,"trans-Pt(3,5-lutidine)Cl2",CDCl3,-1958,0,3.1,11,4
21,23,cis-Pt(3-picoline)Cl2,CDCl3,-2008,0,3.1,11,4
22,24,trans-Pt(3-picoline)Cl2,CDCl3,-1955,0,3.1,11,4
23,25,cis-Pt(2-picoline)Cl2,CDCl3,-2021,0,3.1,11,4
24,26,trans-Pt(2-picoline)Cl2,CDCl3,-1973,0,3.1,11,4
25,27,cis-Pt(4-picoline)Cl2,CDCl3,-2003,0,3.1,11,4
26,28,trans-Pt(4-picoline)Cl2,CDCl3,-1948,0,3.1,11,4
27,29,[PtCl4]-2,D2O,-1628,-2,3.16,14.6,4
28,30,cis-[Pt(NH3)(SOMe2)2(H2O)]2+,DMSO,-3426,2,2.91,12.875,4
29,31,trans-[Pt(NH3)(SOMe2)2(H2O)]2+,DMSO,-2965,2,2.91,12.875,4
30,32,cis-[Pt(NH3)(SOMe2)2Cl]+,DMSO,-3487,1,2.84,15.2,4
31,33,cis-[Pt(NH3)(SOMe2)2Br]+,DMSO,-3613,1,2.79,16.8,4
32,34,cis-[Pt(NH3)2(SOMe2)Br]+,DMSO,-3315,1,2.905,13.8,4
33,35,trans-[Pt(NH3)2(SOMe2)Br]+,DMSO,-3218,1,2.905,13.8,4
34,36,[Pt(en)(SOMe2)I]+,DMSO,-3779,1,2.83,16.775,4
35,37,[Pt(en)(SOMe2)Cl]+,DMSO,-3307,1,2.955,12.2,4
36,38,[Pt(SOMe2)Cl3]-,DMSO,-2969,-1,3.015,15.8,4
37,39,[Pt(SOMe2)Br3]-,DMSO,-3617,-1,2.865,20.6,4
38,40,cis-Pt(SOMe2)2Cl2,DMSO,-3459,0,2.87,17,4
39,41,trans-Pt(SOMe2)2Cl2,DMSO,-3650,0,2.87,17,4
40,42,cis-Pt(NH3)2Br2,DMSO,-2410,0,3,14.2,4
41,43,cis-Pt(NH3)2I2,DMF,-3264,0,2.85,20.15,4
42,44,cis-Pt(en)I2,DMF,-3462,0,2.85,20.15,4
43,45,cis-Pt(MeNH2)2I2,DMF,-3327,0,2.85,20.15,4
44,46,cis-Pt(Me2NH)2I2,DMF,-3211,0,2.85,20.15,4
45,47,cis-Pt(EtNH2)2I2,DMF,-3330,0,2.85,20.15,4
46,48,cis-Pt(cba)2I2,DMF,-3346,0,2.85,20.15,4
47,49,cis-Pt(cpa)2I2,DMF,-3302,0,2.85,20.15,4
48,50,cis-Pt(py)2I2,CD2Cl2,-3199,0,2.85,20.15,4
49,51,trans-Pt(py)2I2,CD2Cl2,-3133,0,2.85,20.15,4
50,52,"cis-Pt(2,4-lutidine)2I2",CDCl3,-3275,0,2.85,20.15,4
51,53,"trans-Pt(2,4-lutidine)2I2",CDCl3,-3246,0,2.85,20.15,4
52,54,"cis-Pt(3,5-lutidine)2I2",CDCl3,-3228,0,2.85,20.15,4
53,55,"trans-Pt(3,5-lutidine)2I2",CDCl3,-3135,0,2.85,20.15,4
