Index,Name,Solvent,Experimental,Charge,list_index
1,cis-Pt(en)Cl2,DMSO,-2345,0,0
2,"cis-Pt(N,N-(Me)4en)Cl2",DMSO,-2386,0,1
3,"cis-Pt(N,N-(Me)2en)Cl2",DMSO,-2433,0,2
4,cis-Pt(N-(Me)2en)Cl2,DMSO,-2355,0,3
6,cis-Pt(cba)NH3Cl2,DMSO,-2219,0,4
7,cis-Pt(cba)2Cl2,DMF,-2235,0,5
8,trans-Pt(cba)2Cl2,DMF,-2225,0,6
9,cis-Pt(MeNH2)2Cl2,DMF,-2222,0,7
10,cis-Pt(Me2NH)2Cl2,DMF,-2188,0,8
11,trans-Pt(Me2NH)2Cl2,DMF,-2181,0,9
12,[Pt(MeNH2)Cl3]-,DMF,-1842,-1,10
13,[Pt(EtNH2)Cl3]-,DMF,-1850,-1,11
14,[Pt(cba)Cl3]-,DMF,-1852,-1,12
15,[Pt(cpa)Cl3]-,DMF,-1847,-1,13
16,[Pt(Me2NH)Cl3]-,DMF,-1825,-1,14
17,cis-Pt(py)2Cl2,CDCl3,-1998,0,15
18,trans-Pt(py)2Cl2,CDCl3,-1948,0,16
19,"cis-Pt(2,4-lutidine)Cl2",CDCl3,-2014,0,17
20,"trans-Pt(2,4-lutidine)Cl2",CDCl3,-1960,0,18
21,"cis-Pt(3,5-lutidine)Cl2",CDCl3,-2011,0,19
22,"trans-Pt(3,5-lutidine)Cl2",CDCl3,-1958,0,20
23,cis-Pt(3-picoline)Cl2,CDCl3,-2008,0,21
24,trans-Pt(3-picoline)Cl2,CDCl3,-1955,0,22
25,cis-Pt(2-picoline)Cl2,CDCl3,-2021,0,23
26,trans-Pt(2-picoline)Cl2,CDCl3,-1973,0,24
27,cis-Pt(4-picoline)Cl2,CDCl3,-2003,0,25
28,trans-Pt(4-picoline)Cl2,CDCl3,-1948,0,26
29,[PtCl4]-2,D2O,-1628,-2,27
30,cis-[Pt(NH3)(SOMe2)2(H2O)]2+,DMSO,-3426,2,28
31,trans-[Pt(NH3)(SOMe2)2(H2O)]2+,DMSO,-2965,2,29
32,cis-[Pt(NH3)(SOMe2)2Cl]+,DMSO,-3487,1,30
33,cis-[Pt(NH3)(SOMe2)2Br]+,DMSO,-3613,1,31
34,cis-[Pt(NH3)2(SOMe2)Br]+,DMSO,-3315,1,32
35,trans-[Pt(NH3)2(SOMe2)Br]+,DMSO,-3218,1,33
36,[Pt(en)(SOMe2)I]+,DMSO,-3779,1,34
37,[Pt(en)(SOMe2)Cl]+,DMSO,-3307,1,35
38,[Pt(SOMe2)Cl3]-,DMSO,-2969,-1,36
39,[Pt(SOMe2)Br3]-,DMSO,-3617,-1,37
40,cis-Pt(SOMe2)2Cl2,DMSO,-3459,0,38
41,trans-Pt(SOMe2)2Cl2,DMSO,-3650,0,39
42,cis-Pt(NH3)2Br2,DMSO,-2410,0,40
43,cis-Pt(NH3)2I2,DMF,-3264,0,41
44,cis-Pt(en)I2,DMF,-3462,0,42
45,cis-Pt(MeNH2)2I2,DMF,-3327,0,43
46,cis-Pt(Me2NH)2I2,DMF,-3211,0,44
47,cis-Pt(EtNH2)2I2,DMF,-3330,0,45
48,cis-Pt(cba)2I2,DMF,-3346,0,46
49,cis-Pt(cpa)2I2,DMF,-3302,0,47
50,cis-Pt(py)2I2,CD2Cl2,-3199,0,48
51,trans-Pt(py)2I2,CD2Cl2,-3133,0,49
52,"cis-Pt(2,4-lutidine)2I2",CDCl3,-3275,0,50
53,"trans-Pt(2,4-lutidine)2I2",CDCl3,-3246,0,51
54,"cis-Pt(3,5-lutidine)2I2",CDCl3,-3228,0,52
